train_logloss,train_auc,train_accuracy,test_logloss,test_auc,test_accuracy
0.37372126031900904,0.8715499321259218,0.8271858972390282,0.3500097099254516,0.887639898036613,0.8359437380996253
0.34831554528756553,0.8902404184873388,0.8386413193697982,0.3401140470943231,0.8937665773619284,0.8427000798476753
0.34024366847390625,0.895137696260095,0.843094499554682,0.334488591392116,0.8973208055785038,0.8446041397948529
0.33505251469295466,0.8983886561757982,0.8472712754522281,0.33069516932299237,0.8994418087941853,0.8471838339168356
0.3316093848277029,0.9003048348878953,0.8479162187893492,0.32834068357711704,0.9004990589651732,0.8501934770591487
0.32959778170287457,0.9013260260872544,0.8481926230766869,0.3271928440186076,0.9010389020305485,0.8500092131932928
0.32842272860740634,0.9018633436227877,0.8474555449771198,0.32631803545542204,0.9013929218206123,0.8507462686567164
0.32757467862363937,0.9023762273156328,0.8475783913270477,0.32564178879711936,0.9016388287216249,0.8502548983477674
0.3268535020477952,0.9027043507098402,0.8482540462516508,0.325406733214292,0.9017588496060952,0.8499477919046742
0.3264550191911118,0.9029264582608469,0.8482540462516508,0.32507573941036655,0.9018780863819997,0.8506848473680978
